id,age,job,marital,education,producto,is_in_default,balance
1046,39.0,admin.,single,secondary,hipoteca_credito_deposit,0.0,2263
1047,31.0,self-employed,single,tertiary,deposit,0.0,2589
1048,41.0,management,single,tertiary,deposit,0.0,1982
1049,59.0,management,married,tertiary,deposit,0.0,7049
1050,39.0,management,divorced,tertiary,deposit,0.0,1968
1051,48.0,housemaid,married,primary,deposit,0.0,7195
1052,50.0,admin.,married,secondary,deposit,0.0,4117
1053,31.0,admin.,single,secondary,hipoteca__deposit,0.0,3950
1054,30.0,services,single,secondary,hipoteca__deposit,0.0,495
1055,31.0,management,married,secondary,hipoteca__deposit,0.0,8629
1056,30.0,technician,married,secondary,hipoteca__deposit,0.0,455
1057,34.0,blue-collar,single,secondary,hipoteca__deposit,0.0,4536
1058,53.0,blue-collar,married,secondary,hipoteca__deposit,0.0,1777
1059,34.0,blue-collar,married,primary,hipoteca__deposit,0.0,3527
1060,57.0,management,married,tertiary,deposit,0.0,372
1061,41.0,services,single,secondary,deposit,0.0,92
1062,40.0,admin.,married,primary,hipoteca_credito_deposit,0.0,72
1063,37.0,admin.,divorced,secondary,hipoteca__deposit,0.0,1533
1064,31.0,management,married,tertiary,hipoteca__deposit,0.0,4148
1065,58.0,management,married,tertiary,deposit,0.0,96
1066,39.0,unemployed,married,secondary,deposit,0.0,2245
1067,47.0,technician,married,secondary,credito_deposit,0.0,834
1068,44.0,management,married,tertiary,hipoteca_credito_deposit,0.0,4119
1069,45.0,technician,married,tertiary,credito_deposit,0.0,-525
1070,41.0,entrepreneur,married,primary,hipoteca__deposit,0.0,39
1071,33.0,technician,single,tertiary,hipoteca__deposit,0.0,0
1072,30.0,student,single,tertiary,deposit,0.0,2766
1073,30.0,student,single,tertiary,deposit,0.0,3300
1074,42.0,management,married,tertiary,deposit,0.0,36
1075,49.0,management,married,tertiary,deposit,0.0,22520
1076,59.0,unemployed,single,primary,deposit,0.0,7724
1077,31.0,unknown,married,secondary,deposit,0.0,111
1078,43.0,management,married,tertiary,deposit,0.0,2640
1079,38.0,management,married,tertiary,deposit,0.0,3436
1080,30.0,services,married,secondary,hipoteca__deposit,0.0,0
1081,35.0,admin.,divorced,secondary,credito_deposit,0.0,3636
1082,43.0,technician,married,secondary,hipoteca__deposit,0.0,3288
1083,34.0,management,single,tertiary,hipoteca__deposit,0.0,2633
1084,52.0,blue-collar,married,secondary,deposit,0.0,580
1085,46.0,management,married,secondary,deposit,0.0,149
1086,46.0,services,divorced,secondary,deposit,0.0,4329
1087,37.0,admin.,single,secondary,hipoteca__deposit,0.0,1097
1088,42.0,management,married,tertiary,hipoteca_credito_deposit,0.0,1275
1089,23.0,unemployed,single,primary,deposit,0.0,1003
1090,53.0,management,married,secondary,credito_deposit,0.0,1004
1091,26.0,unemployed,single,tertiary,deposit,0.0,814
1092,49.0,technician,married,secondary,hipoteca__deposit,0.0,808
1093,34.0,unknown,single,secondary,deposit,0.0,859
1094,28.0,unknown,single,secondary,deposit,0.0,4465
1095,46.0,technician,divorced,tertiary,deposit,0.0,0
1096,26.0,unemployed,single,secondary,deposit,0.0,622
1097,31.0,services,single,secondary,credito_deposit,0.0,1709
1098,51.0,admin.,single,tertiary,deposit,0.0,394
1099,47.0,blue-collar,married,secondary,hipoteca__deposit,0.0,1125
1100,53.0,blue-collar,married,primary,deposit,1.0,-462
1101,29.0,unemployed,single,primary,deposit,0.0,550
1102,32.0,technician,single,secondary,credito_deposit,0.0,540
1103,26.0,blue-collar,single,primary,deposit,0.0,941
1104,40.0,management,single,tertiary,deposit,0.0,1361
1105,33.0,services,single,tertiary,deposit,0.0,-452
1106,49.0,unemployed,married,primary,deposit,0.0,518
1107,60.0,technician,married,tertiary,hipoteca_credito_deposit,0.0,-71
1108,41.0,management,single,secondary,hipoteca__deposit,0.0,3234
1109,36.0,technician,single,secondary,deposit,0.0,98
1110,29.0,services,single,unknown,deposit,0.0,196
1111,42.0,admin.,divorced,secondary,deposit,0.0,936
1112,33.0,entrepreneur,single,tertiary,hipoteca_credito_deposit,0.0,300
1113,31.0,admin.,divorced,secondary,hipoteca__deposit,0.0,217
1114,31.0,unemployed,single,primary,deposit,0.0,163
1115,26.0,services,single,secondary,deposit,0.0,110
1116,40.0,technician,single,tertiary,hipoteca__deposit,0.0,1646
1117,45.0,unemployed,married,secondary,deposit,0.0,2040
1118,55.0,technician,married,secondary,deposit,1.0,-308
1119,29.0,technician,single,tertiary,deposit,0.0,2325
1120,47.0,management,single,tertiary,deposit,0.0,86
1121,50.0,unemployed,divorced,unknown,deposit,0.0,1088
1122,44.0,unemployed,married,secondary,hipoteca__deposit,0.0,0
1123,56.0,unemployed,married,secondary,deposit,0.0,0
1124,39.0,student,single,tertiary,deposit,0.0,2103
1125,59.0,retired,single,secondary,deposit,0.0,2
1126,43.0,management,divorced,secondary,deposit,0.0,51
1127,36.0,admin.,married,secondary,deposit,0.0,96
1128,29.0,admin.,single,secondary,hipoteca__deposit,0.0,1027
1129,38.0,management,married,tertiary,hipoteca__deposit,0.0,1308
1130,41.0,services,divorced,secondary,hipoteca__deposit,0.0,840
1131,58.0,management,divorced,tertiary,deposit,0.0,5701
1132,61.0,management,married,tertiary,deposit,0.0,6016
1133,36.0,management,married,tertiary,deposit,0.0,630
1134,30.0,self-employed,single,tertiary,hipoteca__deposit,0.0,432
1135,43.0,admin.,single,secondary,hipoteca_credito_deposit,0.0,-247
1136,39.0,services,married,secondary,deposit,0.0,52
1137,48.0,blue-collar,single,primary,hipoteca__deposit,0.0,623
1138,26.0,student,single,secondary,deposit,0.0,0
1139,51.0,technician,married,secondary,deposit,0.0,100
1140,37.0,management,married,tertiary,hipoteca__deposit,0.0,4089
1141,29.0,technician,single,tertiary,deposit,0.0,1669
1142,57.0,admin.,married,secondary,deposit,0.0,169
1143,25.0,admin.,single,secondary,credito_deposit,0.0,483
1144,68.0,retired,divorced,primary,deposit,0.0,250
1145,34.0,management,married,tertiary,hipoteca__deposit,0.0,0
1146,38.0,technician,divorced,secondary,hipoteca__deposit,0.0,902
1147,54.0,technician,divorced,secondary,hipoteca__deposit,0.0,2156
1148,32.0,management,single,tertiary,deposit,0.0,2360
1149,41.0,blue-collar,married,primary,hipoteca__deposit,0.0,201
1150,48.0,technician,single,secondary,hipoteca__deposit,0.0,-92
1151,59.0,retired,divorced,secondary,deposit,0.0,514
1152,39.0,unemployed,single,secondary,hipoteca__deposit,0.0,-114
1153,31.0,management,married,tertiary,deposit,0.0,1331
1154,30.0,entrepreneur,single,secondary,deposit,0.0,732
1155,40.0,management,married,tertiary,deposit,0.0,1308
1156,28.0,self-employed,married,tertiary,hipoteca__deposit,0.0,0
1157,52.0,management,married,tertiary,hipoteca__deposit,0.0,-970
1158,32.0,technician,single,tertiary,hipoteca__deposit,0.0,1246
1159,34.0,management,married,tertiary,deposit,0.0,73
1160,31.0,unemployed,single,primary,deposit,0.0,406
1161,57.0,admin.,married,secondary,deposit,0.0,4391
1162,31.0,self-employed,married,tertiary,deposit,0.0,168
1163,29.0,management,married,tertiary,hipoteca__deposit,0.0,1441
1164,75.0,retired,divorced,primary,hipoteca__deposit,0.0,3881
1165,32.0,admin.,single,secondary,hipoteca__deposit,0.0,678
1166,31.0,management,married,tertiary,hipoteca__deposit,0.0,141
1167,41.0,self-employed,single,tertiary,hipoteca__deposit,0.0,-94
1168,22.0,admin.,single,tertiary,hipoteca__deposit,0.0,897
1169,31.0,unemployed,single,secondary,deposit,0.0,1214
1170,69.0,retired,married,primary,deposit,0.0,324
1171,30.0,self-employed,married,tertiary,deposit,0.0,2666
1172,49.0,blue-collar,divorced,secondary,credito_deposit,0.0,10613
1173,29.0,management,single,tertiary,deposit,0.0,697
1174,43.0,blue-collar,married,secondary,hipoteca__deposit,0.0,953
1175,28.0,services,single,primary,deposit,0.0,198
1176,56.0,unemployed,single,primary,deposit,0.0,1110
1177,39.0,admin.,married,secondary,hipoteca_credito_deposit,0.0,130
1178,33.0,blue-collar,married,secondary,deposit,0.0,315
1179,38.0,technician,married,tertiary,deposit,0.0,4383
1180,30.0,admin.,single,secondary,hipoteca__deposit,0.0,313
1181,29.0,technician,married,secondary,deposit,0.0,273
1182,69.0,management,married,tertiary,deposit,0.0,840
1183,45.0,management,married,tertiary,hipoteca__deposit,0.0,309
1184,35.0,management,single,tertiary,deposit,0.0,2707
1185,31.0,technician,single,tertiary,deposit,0.0,1109
1186,26.0,entrepreneur,single,secondary,hipoteca__deposit,0.0,101
1187,26.0,entrepreneur,single,tertiary,deposit,0.0,725
1188,34.0,unemployed,married,primary,deposit,0.0,309
1189,42.0,technician,single,secondary,hipoteca__deposit,0.0,541
1190,54.0,services,married,unknown,hipoteca__deposit,0.0,0
1191,53.0,management,married,tertiary,deposit,0.0,1624
1192,54.0,technician,married,secondary,deposit,0.0,0
1193,48.0,entrepreneur,single,tertiary,hipoteca__deposit,0.0,318
1194,40.0,unemployed,married,primary,hipoteca__deposit,0.0,1908
1195,28.0,technician,single,tertiary,deposit,0.0,676
1196,34.0,entrepreneur,married,tertiary,hipoteca__deposit,0.0,1076
1197,34.0,management,single,tertiary,deposit,0.0,1228
1198,32.0,management,single,tertiary,deposit,0.0,0
1199,31.0,services,single,secondary,credito_deposit,0.0,13
1200,31.0,management,single,tertiary,hipoteca__deposit,0.0,12857
1201,66.0,technician,married,secondary,deposit,0.0,0
1202,37.0,technician,single,tertiary,deposit,0.0,6101
1203,33.0,management,married,tertiary,deposit,0.0,158
1204,50.0,management,married,tertiary,deposit,0.0,346
1205,33.0,blue-collar,single,secondary,deposit,0.0,697
1206,56.0,management,married,tertiary,deposit,0.0,616
1207,26.0,services,single,tertiary,hipoteca__deposit,0.0,1140
1208,59.0,retired,divorced,tertiary,deposit,0.0,3444
1209,32.0,blue-collar,married,secondary,deposit,0.0,1879
1210,22.0,student,single,secondary,deposit,0.0,0
1211,34.0,management,married,tertiary,deposit,0.0,0
1212,39.0,services,married,tertiary,deposit,0.0,1493
1213,28.0,technician,single,secondary,deposit,0.0,313
1214,31.0,self-employed,single,tertiary,deposit,0.0,1815
1215,33.0,blue-collar,single,tertiary,deposit,0.0,700
1216,66.0,retired,married,primary,deposit,0.0,206
1217,26.0,admin.,single,secondary,deposit,0.0,255
1218,30.0,admin.,single,secondary,deposit,0.0,270
1219,28.0,technician,single,tertiary,deposit,0.0,4987
1220,29.0,technician,single,tertiary,hipoteca__deposit,0.0,673
1221,49.0,services,married,secondary,deposit,0.0,320
1222,34.0,admin.,married,secondary,hipoteca__deposit,0.0,0
1223,47.0,blue-collar,married,secondary,deposit,0.0,292
1224,42.0,technician,married,tertiary,deposit,0.0,757
1225,43.0,management,married,tertiary,deposit,0.0,40
1226,61.0,retired,married,tertiary,deposit,0.0,1257
1227,35.0,technician,single,secondary,hipoteca__deposit,0.0,1693
1228,40.0,blue-collar,married,secondary,deposit,0.0,5060
1229,31.0,management,divorced,tertiary,deposit,0.0,373
1230,33.0,management,married,secondary,deposit,0.0,369
1231,69.0,retired,married,primary,deposit,0.0,2346
1232,30.0,services,single,secondary,deposit,0.0,1599
1233,41.0,technician,married,secondary,deposit,0.0,1066
1234,31.0,management,married,tertiary,hipoteca__deposit,0.0,2603
1235,22.0,student,single,secondary,deposit,0.0,381
1236,37.0,admin.,married,secondary,hipoteca__deposit,0.0,1314
1237,48.0,management,single,tertiary,deposit,0.0,5689
1238,85.0,retired,married,primary,deposit,0.0,12114
1239,72.0,retired,married,tertiary,deposit,0.0,0
1240,46.0,admin.,divorced,secondary,deposit,0.0,2232
1241,26.0,technician,single,tertiary,deposit,0.0,11862
1242,37.0,technician,married,tertiary,hipoteca__deposit,0.0,127
1243,53.0,management,divorced,tertiary,deposit,0.0,2152
1244,33.0,management,single,tertiary,deposit,0.0,3552
1245,90.0,retired,divorced,secondary,deposit,0.0,1
1246,54.0,admin.,divorced,secondary,deposit,0.0,1872
1247,67.0,retired,married,tertiary,deposit,0.0,1341
1248,42.0,management,divorced,unknown,deposit,0.0,7702
1249,71.0,retired,married,primary,deposit,0.0,4657
1250,44.0,admin.,divorced,secondary,hipoteca_credito_deposit,0.0,397
1251,47.0,entrepreneur,married,tertiary,hipoteca__deposit,0.0,0
1252,44.0,admin.,married,tertiary,hipoteca_credito_deposit,0.0,348
1253,37.0,technician,single,secondary,deposit,0.0,2442
1254,37.0,services,married,secondary,hipoteca__deposit,0.0,1543
1255,28.0,self-employed,single,tertiary,deposit,0.0,805
1256,21.0,blue-collar,single,secondary,deposit,0.0,2265
1257,32.0,management,single,tertiary,deposit,0.0,312
1258,51.0,technician,married,secondary,hipoteca_credito_deposit,0.0,196
1259,26.0,student,single,secondary,deposit,0.0,620
1260,74.0,retired,married,secondary,deposit,0.0,1714
1261,65.0,retired,married,tertiary,deposit,0.0,2416
1262,47.0,technician,married,secondary,deposit,0.0,335
1263,38.0,admin.,married,secondary,hipoteca__deposit,0.0,755
1264,71.0,retired,married,secondary,deposit,0.0,2850
1265,29.0,services,married,secondary,hipoteca__deposit,0.0,1135
1266,61.0,retired,married,primary,deposit,0.0,197
1267,57.0,retired,divorced,primary,deposit,0.0,720
1268,37.0,management,married,tertiary,deposit,0.0,5355
1269,68.0,retired,married,secondary,deposit,0.0,445
1270,29.0,management,single,tertiary,deposit,0.0,5359
1271,51.0,entrepreneur,married,primary,deposit,0.0,1443
1272,41.0,technician,divorced,secondary,hipoteca__deposit,0.0,4047
1273,24.0,student,single,secondary,deposit,0.0,23878
1274,24.0,blue-collar,single,secondary,credito_deposit,0.0,167
1275,59.0,unemployed,married,secondary,deposit,0.0,1047
1276,85.0,retired,divorced,primary,deposit,0.0,7613
1277,51.0,technician,married,secondary,deposit,0.0,117
1278,39.0,technician,married,secondary,deposit,0.0,2266
1279,44.0,management,married,primary,deposit,0.0,558
1280,26.0,admin.,single,secondary,deposit,0.0,2509
1281,48.0,management,married,tertiary,hipoteca__deposit,0.0,1808
1282,37.0,technician,single,secondary,deposit,0.0,1130
1283,71.0,retired,married,tertiary,deposit,0.0,653
1284,62.0,housemaid,married,unknown,deposit,0.0,2021
1285,26.0,admin.,single,tertiary,credito_deposit,0.0,313
1286,43.0,unemployed,single,tertiary,hipoteca__deposit,0.0,983
1287,30.0,management,single,tertiary,hipoteca__deposit,0.0,5561
1288,50.0,management,married,unknown,deposit,0.0,8345
1289,25.0,technician,single,secondary,hipoteca__deposit,0.0,1231
1290,25.0,admin.,single,tertiary,hipoteca__deposit,0.0,3730
1291,31.0,management,single,tertiary,deposit,0.0,924
1292,28.0,technician,single,tertiary,hipoteca__deposit,0.0,2489
1293,66.0,retired,married,secondary,deposit,0.0,995
1294,41.0,management,married,secondary,hipoteca__deposit,0.0,280
1295,46.0,technician,married,secondary,credito_deposit,0.0,3434
1296,42.0,unemployed,married,tertiary,deposit,0.0,576
1297,28.0,technician,single,secondary,deposit,0.0,1363
1298,39.0,blue-collar,single,primary,hipoteca__deposit,0.0,581
1299,42.0,services,married,secondary,hipoteca__deposit,0.0,1376
1300,35.0,services,married,secondary,hipoteca__deposit,0.0,52
1301,55.0,technician,married,secondary,hipoteca_credito_deposit,0.0,0
1302,37.0,technician,married,secondary,deposit,0.0,549
1303,29.0,management,single,tertiary,deposit,0.0,92
1304,49.0,management,married,tertiary,deposit,0.0,2881
1305,44.0,technician,single,secondary,deposit,0.0,250
1306,54.0,admin.,married,secondary,deposit,0.0,602
1307,28.0,management,single,tertiary,hipoteca__deposit,0.0,730
1308,30.0,admin.,single,secondary,credito_deposit,0.0,523
1309,47.0,technician,married,secondary,deposit,0.0,293
1310,34.0,blue-collar,single,secondary,deposit,0.0,215
1311,37.0,unknown,single,tertiary,deposit,0.0,0
1312,25.0,self-employed,single,tertiary,hipoteca__deposit,0.0,42
1313,29.0,technician,single,secondary,hipoteca__deposit,0.0,316
1314,62.0,management,married,secondary,hipoteca__deposit,0.0,4562
1315,58.0,management,divorced,secondary,deposit,0.0,10180
1316,46.0,management,married,tertiary,deposit,0.0,0
1317,56.0,retired,married,tertiary,deposit,0.0,281
1318,33.0,management,married,tertiary,deposit,0.0,250
1319,27.0,student,single,tertiary,deposit,0.0,0
1320,60.0,retired,married,secondary,deposit,0.0,404
1321,32.0,management,single,tertiary,deposit,0.0,506
1322,83.0,retired,divorced,primary,deposit,0.0,1097
1323,35.0,self-employed,married,tertiary,hipoteca__deposit,0.0,3698
1324,31.0,management,divorced,tertiary,hipoteca__deposit,0.0,883
1325,30.0,student,single,tertiary,deposit,0.0,2539
1326,29.0,technician,married,secondary,deposit,0.0,2326
1327,36.0,management,single,tertiary,deposit,0.0,811
1328,57.0,management,married,tertiary,deposit,0.0,256
1329,21.0,blue-collar,single,secondary,deposit,0.0,682
1330,44.0,management,single,tertiary,deposit,0.0,483
1331,23.0,management,single,tertiary,deposit,0.0,1506
1332,34.0,management,single,tertiary,deposit,0.0,575
1333,32.0,self-employed,married,secondary,deposit,0.0,409
1334,37.0,unemployed,single,tertiary,hipoteca__deposit,0.0,1316
1335,35.0,management,single,tertiary,hipoteca__deposit,0.0,671
1336,47.0,management,married,tertiary,deposit,0.0,2351
1337,61.0,management,married,tertiary,deposit,0.0,997
1338,30.0,management,single,tertiary,deposit,0.0,4808
1339,70.0,retired,married,secondary,deposit,0.0,6422
1340,52.0,management,married,tertiary,deposit,0.0,31
1341,28.0,management,single,secondary,deposit,0.0,171
1342,57.0,management,married,tertiary,deposit,0.0,2681
1343,24.0,admin.,single,tertiary,deposit,0.0,-61
1344,32.0,management,married,tertiary,deposit,0.0,8929
1345,65.0,housemaid,married,primary,deposit,0.0,715
1346,44.0,management,married,tertiary,deposit,0.0,1058
1347,32.0,entrepreneur,single,tertiary,hipoteca__deposit,0.0,-34
1348,33.0,technician,single,tertiary,deposit,0.0,258
1349,53.0,services,divorced,secondary,deposit,0.0,0
1350,31.0,management,divorced,tertiary,deposit,0.0,71
1351,58.0,self-employed,married,tertiary,deposit,0.0,5810
1352,30.0,management,single,tertiary,deposit,0.0,3473
1353,47.0,blue-collar,married,secondary,hipoteca_credito_deposit,0.0,238
1354,60.0,technician,married,secondary,deposit,0.0,1740
1355,36.0,entrepreneur,divorced,tertiary,deposit,0.0,3407
1356,37.0,services,single,secondary,deposit,0.0,1045
1357,43.0,admin.,married,secondary,deposit,0.0,132
1358,37.0,admin.,single,tertiary,hipoteca__deposit,0.0,1000
1359,31.0,management,single,tertiary,deposit,0.0,115
1360,31.0,technician,married,secondary,deposit,0.0,180
1361,30.0,management,single,tertiary,hipoteca__deposit,0.0,201
1362,30.0,management,married,tertiary,hipoteca__deposit,0.0,8089
1363,32.0,admin.,single,tertiary,deposit,0.0,8866
1364,35.0,admin.,married,secondary,hipoteca__deposit,0.0,2
1365,59.0,technician,married,secondary,deposit,0.0,259
1366,33.0,housemaid,single,tertiary,hipoteca__deposit,0.0,1107
1367,37.0,management,single,tertiary,deposit,0.0,1730
1368,31.0,services,married,secondary,deposit,0.0,447
1369,26.0,management,single,tertiary,deposit,0.0,2786
1370,53.0,technician,married,secondary,deposit,0.0,10185
1371,34.0,unemployed,married,secondary,deposit,0.0,978
1372,46.0,management,divorced,tertiary,hipoteca__deposit,0.0,-130
1373,76.0,retired,divorced,primary,deposit,0.0,3049
1374,46.0,management,married,tertiary,deposit,0.0,11385
1375,83.0,retired,divorced,primary,deposit,0.0,46
1376,23.0,student,single,secondary,deposit,0.0,4126
1377,34.0,management,single,tertiary,deposit,0.0,212
1378,24.0,student,single,secondary,deposit,0.0,1250
1379,41.0,management,divorced,tertiary,hipoteca_credito_deposit,0.0,25
1380,28.0,admin.,single,secondary,deposit,0.0,1277
1381,34.0,technician,married,secondary,hipoteca__deposit,0.0,390
1382,77.0,retired,married,secondary,deposit,0.0,9601
1383,36.0,management,married,secondary,deposit,0.0,565
1384,58.0,management,married,tertiary,hipoteca__deposit,0.0,1384
1385,46.0,admin.,married,secondary,hipoteca__deposit,0.0,-522
1386,59.0,retired,married,tertiary,deposit,0.0,9676
1387,19.0,student,single,primary,deposit,0.0,134
1388,23.0,management,single,tertiary,deposit,0.0,2143
1389,27.0,management,single,tertiary,deposit,0.0,831
1390,73.0,retired,divorced,primary,deposit,0.0,2308
1391,41.0,management,married,tertiary,hipoteca__deposit,0.0,1468
1392,30.0,admin.,single,tertiary,deposit,0.0,311
1393,26.0,admin.,single,secondary,deposit,0.0,274
1394,38.0,blue-collar,single,tertiary,hipoteca__deposit,0.0,172
1395,46.0,management,divorced,tertiary,hipoteca__deposit,0.0,507
1396,27.0,technician,single,tertiary,deposit,0.0,393
1397,63.0,self-employed,married,tertiary,deposit,0.0,-39
1398,34.0,admin.,married,secondary,deposit,0.0,1474
1399,32.0,admin.,single,secondary,credito_deposit,0.0,471
1400,33.0,management,single,tertiary,hipoteca__deposit,0.0,3161
1401,47.0,blue-collar,married,secondary,hipoteca__deposit,0.0,1612
1402,48.0,admin.,divorced,secondary,deposit,0.0,4099
1403,58.0,unknown,married,unknown,deposit,0.0,68
1404,50.0,management,married,tertiary,hipoteca__deposit,0.0,414
1405,26.0,blue-collar,single,secondary,credito_deposit,0.0,5005
1406,39.0,blue-collar,married,secondary,hipoteca__deposit,0.0,1756
1407,55.0,blue-collar,divorced,secondary,hipoteca__deposit,0.0,1613
1408,41.0,self-employed,married,secondary,hipoteca__deposit,0.0,3123
1409,54.0,entrepreneur,divorced,unknown,hipoteca__deposit,0.0,4736
1410,33.0,technician,single,tertiary,hipoteca__deposit,0.0,127
1411,42.0,management,single,tertiary,deposit,0.0,11891
1412,45.0,blue-collar,married,primary,deposit,0.0,4979
1413,40.0,management,married,secondary,credito_deposit,0.0,754
1414,37.0,admin.,married,secondary,hipoteca__deposit,0.0,1207
1415,44.0,blue-collar,single,secondary,hipoteca_credito_deposit,0.0,712
1416,30.0,blue-collar,single,tertiary,deposit,0.0,297
1417,26.0,self-employed,single,secondary,deposit,0.0,3676
1418,47.0,unemployed,married,secondary,deposit,0.0,817
1419,46.0,blue-collar,single,tertiary,deposit,0.0,283
1420,25.0,admin.,single,secondary,credito_deposit,0.0,82
1421,56.0,technician,married,secondary,deposit,0.0,2847
1422,36.0,blue-collar,single,secondary,hipoteca__deposit,0.0,1822
1423,35.0,technician,single,secondary,hipoteca__deposit,0.0,16
1424,54.0,unemployed,married,secondary,deposit,0.0,377
1425,48.0,management,married,secondary,hipoteca__deposit,0.0,4415
1426,32.0,technician,married,secondary,hipoteca__deposit,0.0,303
1427,60.0,admin.,divorced,secondary,deposit,0.0,12039
1428,67.0,retired,married,secondary,deposit,0.0,1443
1429,32.0,management,single,tertiary,deposit,0.0,1781
1430,26.0,admin.,married,secondary,deposit,0.0,3415
1431,33.0,management,single,tertiary,hipoteca__deposit,0.0,318
1432,21.0,student,single,primary,deposit,0.0,423
1433,30.0,technician,single,secondary,deposit,0.0,2544
1434,27.0,student,single,secondary,deposit,0.0,2614
1435,30.0,services,single,secondary,hipoteca__deposit,0.0,1268
1436,36.0,blue-collar,married,secondary,hipoteca__deposit,0.0,536
1437,27.0,admin.,married,secondary,hipoteca__deposit,0.0,1293
1438,29.0,management,single,tertiary,deposit,0.0,1377
1439,38.0,blue-collar,single,secondary,hipoteca__deposit,0.0,2580
1440,23.0,admin.,single,tertiary,credito_deposit,0.0,314
1441,38.0,technician,married,tertiary,deposit,0.0,206
1442,30.0,technician,single,secondary,hipoteca__deposit,0.0,3286
1443,41.0,services,married,secondary,hipoteca__deposit,0.0,803
1444,33.0,technician,single,secondary,hipoteca__deposit,0.0,719
1445,35.0,admin.,married,secondary,hipoteca__deposit,0.0,898
1446,29.0,admin.,married,tertiary,deposit,0.0,332
1447,68.0,retired,divorced,primary,deposit,0.0,695
1448,20.0,student,single,secondary,deposit,0.0,1819
1449,30.0,management,single,tertiary,deposit,0.0,2544
1450,32.0,blue-collar,married,secondary,hipoteca__deposit,0.0,759
1451,28.0,management,divorced,tertiary,hipoteca__deposit,0.0,229
1452,45.0,blue-collar,married,secondary,hipoteca__deposit,0.0,96
1453,29.0,technician,single,secondary,hipoteca__deposit,0.0,110
1454,31.0,blue-collar,married,secondary,hipoteca_credito_deposit,0.0,1406
1455,39.0,services,divorced,secondary,hipoteca__deposit,0.0,0
1456,42.0,blue-collar,married,primary,hipoteca__deposit,0.0,2103
1457,35.0,management,single,tertiary,hipoteca_credito_deposit,0.0,1599
1458,34.0,technician,single,tertiary,hipoteca__deposit,0.0,925
1459,26.0,management,single,tertiary,deposit,0.0,-3
1460,29.0,services,divorced,secondary,hipoteca__deposit,0.0,84
1461,44.0,self-employed,single,tertiary,hipoteca__deposit,0.0,1367
1462,34.0,management,married,tertiary,hipoteca__deposit,0.0,703
1463,33.0,management,married,tertiary,hipoteca__deposit,0.0,0
1464,34.0,management,single,tertiary,deposit,0.0,2646
1465,33.0,admin.,single,secondary,hipoteca__deposit,0.0,572
1466,22.0,student,single,secondary,deposit,0.0,107
1467,32.0,technician,married,secondary,hipoteca_credito_deposit,0.0,765
1468,36.0,services,single,secondary,hipoteca__deposit,0.0,-253
1469,44.0,admin.,divorced,secondary,deposit,0.0,0
1470,65.0,retired,married,secondary,deposit,0.0,2
1471,61.0,self-employed,divorced,tertiary,hipoteca__deposit,0.0,6
1472,41.0,housemaid,married,primary,deposit,0.0,0
1473,24.0,management,married,unknown,deposit,0.0,448
1474,77.0,retired,divorced,tertiary,deposit,0.0,4659
1475,62.0,housemaid,married,tertiary,deposit,0.0,1528
1476,30.0,unemployed,married,tertiary,deposit,0.0,330
1477,29.0,admin.,single,secondary,deposit,0.0,731
1478,29.0,unemployed,single,secondary,deposit,0.0,25
1479,65.0,management,married,secondary,deposit,0.0,587
1480,43.0,services,married,primary,hipoteca__deposit,0.0,2557
1481,70.0,retired,divorced,primary,deposit,0.0,275
1482,32.0,services,married,secondary,hipoteca__deposit,0.0,1129
1483,46.0,technician,married,secondary,hipoteca__deposit,0.0,2149
1484,33.0,admin.,married,secondary,deposit,0.0,855
1485,57.0,services,married,primary,hipoteca__deposit,0.0,491
1486,62.0,blue-collar,married,secondary,deposit,0.0,180
1487,32.0,services,single,secondary,deposit,0.0,133
1488,39.0,blue-collar,single,secondary,hipoteca__deposit,0.0,649
1489,76.0,housemaid,divorced,primary,deposit,0.0,1411
1490,36.0,admin.,single,secondary,hipoteca__deposit,0.0,11174
1491,27.0,technician,single,secondary,hipoteca__deposit,0.0,439
1492,38.0,management,single,tertiary,hipoteca__deposit,0.0,6158
1493,56.0,blue-collar,married,primary,deposit,0.0,3498
1494,51.0,unemployed,married,tertiary,deposit,0.0,1801
1495,39.0,management,married,tertiary,deposit,0.0,937
1496,35.0,management,divorced,tertiary,deposit,0.0,26
1497,32.0,blue-collar,married,secondary,hipoteca__deposit,1.0,-53
1498,51.0,housemaid,married,unknown,hipoteca__deposit,0.0,2337
1499,37.0,technician,married,secondary,deposit,0.0,1762
1500,52.0,entrepreneur,single,tertiary,hipoteca__deposit,0.0,3469
1501,35.0,technician,married,secondary,hipoteca__deposit,0.0,545
1502,47.0,admin.,married,secondary,deposit,0.0,3480
1503,31.0,technician,married,secondary,deposit,0.0,183
1504,49.0,services,married,secondary,hipoteca__deposit,0.0,2416
1505,30.0,management,single,tertiary,deposit,0.0,424
1506,35.0,blue-collar,single,secondary,hipoteca__deposit,0.0,0
1507,44.0,management,married,primary,deposit,0.0,294
1508,42.0,blue-collar,married,secondary,hipoteca_credito_deposit,0.0,1598
1509,29.0,management,single,tertiary,deposit,0.0,268
1510,42.0,technician,divorced,secondary,deposit,0.0,214
1511,43.0,management,married,tertiary,hipoteca__deposit,0.0,240
1512,36.0,technician,single,secondary,hipoteca__deposit,0.0,2511
1513,36.0,technician,married,tertiary,hipoteca__deposit,0.0,4596
1514,32.0,services,married,secondary,hipoteca__deposit,0.0,1273
