"age";"job";"marital";"education";"balance";"housing";"deposit"
59;"management";"married";"tertiary";1783;"no";"yes"
53;"retired";"married";"tertiary";2269;"no";"yes"
37;"technician";"married";"secondary";5115;"yes";"yes"
45;"entrepreneur";"married";"secondary";781;"no";"yes"
49;"technician";"single";"secondary";-188;"yes";"yes"
31;"blue-collar";"single";"tertiary";761;"no";"yes"
31;"admin";"single";"secondary";19;"yes";"yes"
35;"technician";"married";"secondary";4508;"yes";"yes"
37;"entrepreneur";"divorced";"tertiary";66;"no";"yes"
48;"management";"married";"tertiary";2266;"no";"yes"
39;"technician";"single";"secondary";4646;"yes";"yes"
34;"management";"single";"tertiary";1494;"yes";"yes"
49;"management";"married";"tertiary";1050;"yes";"yes"
41;"management";"married";"tertiary";0;"yes";"yes"
46;"management";"married";"secondary";0;"no";"yes"
54;"management";"divorced";"tertiary";2171;"yes";"yes"
38;"technician";"married";"tertiary";3234;"no";"yes"
39;"entrepreneur";"married";"secondary";11887;"no";"yes"
46;"management";"married";"tertiary";0;"no";"yes"
58;"management";"divorced";"tertiary";5037;"yes";"yes"
32;"self-employed";"single";"tertiary";386;"yes";"yes"
30;"admin";"married";"secondary";8781;"yes";"yes"
51;"entrepreneur";"married";"primary";538;"no";"yes"
30;"management";"single";"tertiary";5561;"yes";"yes"
35;"management";"divorced";"tertiary";859;"yes";"yes"
30;"services";"single";"primary";0;"yes";"yes"
30;"self-employed";"single";"secondary";-617;"no";"yes"
43;"management";"married";"tertiary";1429;"yes";"yes"
51;"retired";"married";"tertiary";580;"no";"yes"
32;"services";"single";"secondary";2615;"no";"yes"
53;"unemployed";"divorced";"secondary";587;"no";"yes"
33;"technician";"single";"tertiary";149;"yes";"yes"
40;"blue-collar";"single";"secondary";3;"no";"yes"
42;"blue-collar";"married";"primary";807;"yes";"yes"
46;"unemployed";"divorced";"secondary";3354;"yes";"yes"
32;"self-employed";"single";"tertiary";1249;"yes";"yes"
38;"blue-collar";"married";"primary";190;"yes";"yes"
32;"technician";"single";"tertiary";550;"no";"yes"
30;"entrepreneur";"married";"secondary";12737;"no";"yes"
35;"technician";"married";"secondary";0;"yes";"yes"
36;"admin";"married";"secondary";1207;"yes";"yes"
43;"self-employed";"divorced";"secondary";347;"no";"yes"
42;"management";"married";"tertiary";3713;"no";"yes"
40;"management";"married";"tertiary";3352;"yes";"yes"
32;"blue-collar";"married";"secondary";254;"yes";"yes"
32;"technician";"married";"tertiary";4654;"yes";"yes"
41;"blue-collar";"single";"secondary";-386;"no";"yes"
34;"blue-collar";"single";"secondary";3043;"yes";"yes"
40;"services";"single";"secondary";1547;"yes";"yes"
32;"services";"single";"tertiary";945;"no";"yes"
32;"technician";"single";"secondary";6402;"yes";"yes"
36;"self-employed";"single";"secondary";1295;"no";"yes"
45;"technician";"married";"secondary";6993;"yes";"yes"
47;"self-employed";"married";"secondary";4420;"yes";"yes"
35;"management";"divorced";"tertiary";141;"no";"yes"
36;"services";"married";"secondary";11462;"yes";"yes"
33;"technician";"married";"tertiary";6843;"no";"yes"
30;"blue-collar";"married";"secondary";501;"yes";"yes"
32;"services";"single";"secondary";5806;"yes";"yes"
45;"entrepreneur";"married";"tertiary";20138;"yes";"yes"
47;"services";"married";"secondary";1315;"no";"yes"
46;"technician";"married";"tertiary";0;"no";"yes"
39;"unemployed";"single";"tertiary";7;"yes";"yes"
30;"services";"married";"secondary";3929;"yes";"yes"
45;"self-employed";"married";"secondary";7;"no";"yes"
43;"blue-collar";"married";"secondary";699;"yes";"yes"
53;"blue-collar";"married";"primary";421;"yes";"yes"
43;"technician";"married";"tertiary";4333;"yes";"yes"
54;"management";"divorced";"secondary";300;"yes";"yes"
30;"blue-collar";"single";"secondary";7773;"yes";"yes"
30;"admin";"married";"secondary";1794;"no";"yes"
36;"management";"single";"tertiary";2032;"no";"yes"
33;"management";"married";"tertiary";3401;"no";"yes"
38;"entrepreneur";"married";"tertiary";1110;"yes";"yes"
37;"technician";"divorced";"secondary";3068;"yes";"yes"
32;"services";"married";"secondary";983;"yes";"yes"
59;"technician";"divorced";"secondary";2396;"no";"yes"
59;"retired";"married";"secondary";6888;"no";"yes"
46;"admin";"divorced";"secondary";2087;"no";"yes"
32;"blue-collar";"single";"primary";121;"yes";"yes"
52;"entrepreneur";"single";"tertiary";3469;"yes";"yes"
45;"blue-collar";"married";"primary";5461;"yes";"yes"
52;"blue-collar";"married";"secondary";7119;"no";"yes"
31;"blue-collar";"married";"tertiary";-35;"no";"yes"
31;"unemployed";"married";"secondary";314;"yes";"yes"
39;"technician";"single";"secondary";18508;"no";"yes"
35;"blue-collar";"married";"secondary";5639;"yes";"yes"
33;"services";"married";"secondary";2918;"no";"yes"
50;"blue-collar";"married";"primary";12519;"yes";"yes"
36;"management";"married";"tertiary";4069;"no";"yes"
34;"admin";"single";"tertiary";4254;"yes";"yes"
46;"blue-collar";"divorced";"primary";219;"yes";"yes"
47;"technician";"married";"secondary";0;"no";"yes"
39;"admin";"single";"secondary";2263;"yes";"yes"
31;"self-employed";"single";"tertiary";2589;"no";"yes"
41;"management";"single";"tertiary";1982;"no";"yes"
59;"management";"married";"tertiary";7049;"no";"yes"
39;"management";"divorced";"tertiary";1968;"no";"yes"
48;"housemaid";"married";"primary";7195;"no";"yes"
50;"admin";"married";"secondary";4117;"no";"yes"
31;"admin";"single";"secondary";3950;"yes";"yes"
30;"services";"single";"secondary";495;"yes";"yes"
31;"management";"married";"secondary";8629;"yes";"yes"
30;"technician";"married";"secondary";455;"yes";"yes"
34;"blue-collar";"single";"secondary";4536;"yes";"yes"
53;"blue-collar";"married";"secondary";1777;"yes";"yes"
34;"blue-collar";"married";"primary";3527;"yes";"yes"
57;"management";"married";"tertiary";372;"no";"yes"
41;"services";"single";"secondary";92;"no";"yes"
40;"admin";"married";"primary";72;"yes";"yes"
37;"admin";"divorced";"secondary";1533;"yes";"yes"
31;"management";"married";"tertiary";4148;"yes";"yes"
58;"management";"married";"tertiary";96;"no";"yes"
39;"unemployed";"married";"secondary";2245;"no";"yes"
47;"technician";"married";"secondary";834;"no";"yes"
44;"management";"married";"tertiary";4119;"yes";"yes"
45;"technician";"married";"tertiary";-525;"no";"yes"
41;"entrepreneur";"married";"primary";39;"yes";"yes"
33;"technician";"single";"tertiary";0;"yes";"yes"
30;"student";"single";"tertiary";2766;"no";"yes"
30;"student";"single";"tertiary";3300;"no";"yes"
42;"management";"married";"tertiary";36;"no";"yes"
49;"management";"married";"tertiary";22520;"no";"yes"
59;"unemployed";"single";"primary";7724;"no";"yes"
31;"unknown";"married";"secondary";111;"no";"yes"
43;"management";"married";"tertiary";2640;"no";"yes"
38;"management";"married";"tertiary";3436;"no";"yes"
30;"services";"married";"secondary";0;"yes";"yes"
35;"admin";"divorced";"secondary";3636;"no";"yes"
43;"technician";"married";"secondary";3288;"yes";"yes"
34;"management";"single";"tertiary";2633;"yes";"yes"
52;"blue-collar";"married";"secondary";580;"no";"yes"
46;"management";"married";"secondary";149;"no";"yes"
46;"services";"divorced";"secondary";4329;"no";"yes"
37;"admin";"single";"secondary";1097;"yes";"yes"
42;"management";"married";"tertiary";1275;"yes";"yes"
23;"unemployed";"single";"primary";1003;"no";"yes"
53;"management";"married";"secondary";1004;"no";"yes"
26;"unemployed";"single";"tertiary";814;"no";"yes"
49;"technician";"married";"secondary";808;"yes";"yes"
34;"unknown";"single";"secondary";859;"no";"yes"
28;"unknown";"single";"secondary";4465;"no";"yes"
46;"technician";"divorced";"tertiary";0;"no";"yes"
26;"unemployed";"single";"secondary";622;"no";"yes"
31;"services";"single";"secondary";1709;"no";"yes"
51;"admin";"single";"tertiary";394;"no";"yes"
47;"blue-collar";"married";"secondary";1125;"yes";"yes"
53;"blue-collar";"married";"primary";-462;"no";"yes"
29;"unemployed";"single";"primary";550;"no";"yes"
32;"technician";"single";"secondary";540;"no";"yes"
26;"blue-collar";"single";"primary";941;"no";"yes"
40;"management";"single";"tertiary";1361;"no";"yes"
33;"services";"single";"tertiary";-452;"no";"yes"
49;"unemployed";"married";"primary";518;"no";"yes"
60;"technician";"married";"tertiary";-71;"yes";"yes"
41;"management";"single";"secondary";3234;"yes";"yes"
36;"technician";"single";"secondary";98;"no";"yes"
42;"admin";"divorced";"secondary";936;"no";"yes"
33;"entrepreneur";"single";"tertiary";300;"yes";"yes"
31;"admin";"divorced";"secondary";217;"yes";"yes"
31;"unemployed";"single";"primary";163;"no";"yes"
26;"services";"single";"secondary";110;"no";"yes"
40;"technician";"single";"tertiary";1646;"yes";"yes"
45;"unemployed";"married";"secondary";2040;"no";"yes"
55;"technician";"married";"secondary";-308;"no";"yes"
29;"technician";"single";"tertiary";2325;"no";"yes"
47;"management";"single";"tertiary";86;"no";"yes"
44;"unemployed";"married";"secondary";0;"yes";"yes"
56;"unemployed";"married";"secondary";0;"no";"yes"
39;"student";"single";"tertiary";2103;"no";"yes"
59;"retired";"single";"secondary";2;"no";"yes"
43;"management";"divorced";"secondary";51;"no";"yes"
36;"admin";"married";"secondary";96;"no";"yes"
29;"admin";"single";"secondary";1027;"yes";"yes"
38;"management";"married";"tertiary";1308;"yes";"yes"
41;"services";"divorced";"secondary";840;"yes";"yes"
58;"management";"divorced";"tertiary";5701;"no";"yes"
61;"management";"married";"tertiary";6016;"no";"yes"
36;"management";"married";"tertiary";630;"no";"yes"
30;"self-employed";"single";"tertiary";432;"yes";"yes"
43;"admin";"single";"secondary";-247;"yes";"yes"
39;"services";"married";"secondary";52;"no";"yes"
48;"blue-collar";"single";"primary";623;"yes";"yes"
26;"student";"single";"secondary";0;"no";"yes"
51;"technician";"married";"secondary";100;"no";"yes"
37;"management";"married";"tertiary";4089;"yes";"yes"
29;"technician";"single";"tertiary";1669;"no";"yes"
57;"admin";"married";"secondary";169;"no";"yes"
25;"admin";"single";"secondary";483;"no";"yes"
68;"retired";"divorced";"primary";250;"no";"yes"
34;"management";"married";"tertiary";0;"yes";"yes"
38;"technician";"divorced";"secondary";902;"yes";"yes"
54;"technician";"divorced";"secondary";2156;"yes";"yes"
32;"management";"single";"tertiary";2360;"no";"yes"
41;"blue-collar";"married";"primary";201;"yes";"yes"
48;"technician";"single";"secondary";-92;"yes";"yes"
59;"retired";"divorced";"secondary";514;"no";"yes"
39;"unemployed";"single";"secondary";-114;"yes";"yes"
31;"management";"married";"tertiary";1331;"no";"yes"
30;"entrepreneur";"single";"secondary";732;"no";"yes"
40;"management";"married";"tertiary";1308;"no";"yes"
28;"self-employed";"married";"tertiary";0;"yes";"yes"
52;"management";"married";"tertiary";-970;"yes";"yes"
32;"technician";"single";"tertiary";1246;"yes";"yes"
34;"management";"married";"tertiary";73;"no";"yes"
31;"unemployed";"single";"primary";406;"no";"yes"
57;"admin";"married";"secondary";4391;"no";"yes"
31;"self-employed";"married";"tertiary";168;"no";"yes"
29;"management";"married";"tertiary";1441;"yes";"yes"
75;"retired";"divorced";"primary";3881;"yes";"yes"
32;"admin";"single";"secondary";678;"yes";"yes"
31;"management";"married";"tertiary";141;"yes";"yes"
41;"self-employed";"single";"tertiary";-94;"yes";"yes"
22;"admin";"single";"tertiary";897;"yes";"yes"
31;"unemployed";"single";"secondary";1214;"no";"yes"
69;"retired";"married";"primary";324;"no";"yes"
30;"self-employed";"married";"tertiary";2666;"no";"yes"
49;"blue-collar";"divorced";"secondary";10613;"no";"yes"
29;"management";"single";"tertiary";697;"no";"yes"
43;"blue-collar";"married";"secondary";953;"yes";"yes"
28;"services";"single";"primary";198;"no";"yes"
56;"unemployed";"single";"primary";1110;"no";"yes"
39;"admin";"married";"secondary";130;"yes";"yes"
33;"blue-collar";"married";"secondary";315;"no";"yes"
38;"technician";"married";"tertiary";4383;"no";"yes"
30;"admin";"single";"secondary";313;"yes";"yes"
29;"technician";"married";"secondary";273;"no";"yes"
69;"management";"married";"tertiary";840;"no";"yes"
45;"management";"married";"tertiary";309;"yes";"yes"
35;"management";"single";"tertiary";2707;"no";"yes"
31;"technician";"single";"tertiary";1109;"no";"yes"
26;"entrepreneur";"single";"secondary";101;"yes";"yes"
26;"entrepreneur";"single";"tertiary";725;"no";"yes"
34;"unemployed";"married";"primary";309;"no";"yes"
42;"technician";"single";"secondary";541;"yes";"yes"
53;"management";"married";"tertiary";1624;"no";"yes"
54;"technician";"married";"secondary";0;"no";"yes"
48;"entrepreneur";"single";"tertiary";318;"yes";"yes"
40;"unemployed";"married";"primary";1908;"yes";"yes"
28;"technician";"single";"tertiary";676;"no";"yes"
34;"entrepreneur";"married";"tertiary";1076;"yes";"yes"
34;"management";"single";"tertiary";1228;"no";"yes"
32;"management";"single";"tertiary";0;"no";"yes"
31;"services";"single";"secondary";13;"no";"yes"
31;"management";"single";"tertiary";12857;"yes";"yes"
66;"technician";"married";"secondary";0;"no";"yes"
37;"technician";"single";"tertiary";6101;"no";"yes"
33;"management";"married";"tertiary";158;"no";"yes"
50;"management";"married";"tertiary";346;"no";"yes"
33;"blue-collar";"single";"secondary";697;"no";"yes"
56;"management";"married";"tertiary";616;"no";"yes"
26;"services";"single";"tertiary";1140;"yes";"yes"
59;"retired";"divorced";"tertiary";3444;"no";"yes"
32;"blue-collar";"married";"secondary";1879;"no";"yes"
22;"student";"single";"secondary";0;"no";"yes"
34;"management";"married";"tertiary";0;"no";"yes"
39;"services";"married";"tertiary";1493;"no";"yes"
28;"technician";"single";"secondary";313;"no";"yes"
31;"self-employed";"single";"tertiary";1815;"no";"yes"
33;"blue-collar";"single";"tertiary";700;"no";"yes"
66;"retired";"married";"primary";206;"no";"yes"
26;"admin";"single";"secondary";255;"no";"yes"
30;"admin";"single";"secondary";270;"no";"yes"
28;"technician";"single";"tertiary";4987;"no";"yes"
29;"technician";"single";"tertiary";673;"yes";"yes"
49;"services";"married";"secondary";320;"no";"yes"
34;"admin";"married";"secondary";0;"yes";"yes"
47;"blue-collar";"married";"secondary";292;"no";"yes"
42;"technician";"married";"tertiary";757;"no";"yes"
43;"management";"married";"tertiary";40;"no";"yes"
61;"retired";"married";"tertiary";1257;"no";"yes"
35;"technician";"single";"secondary";1693;"yes";"yes"
40;"blue-collar";"married";"secondary";5060;"no";"yes"
31;"management";"divorced";"tertiary";373;"no";"yes"
33;"management";"married";"secondary";369;"no";"yes"
69;"retired";"married";"primary";2346;"no";"yes"
30;"services";"single";"secondary";1599;"no";"yes"
41;"technician";"married";"secondary";1066;"no";"yes"
31;"management";"married";"tertiary";2603;"yes";"yes"
22;"student";"single";"secondary";381;"no";"yes"
37;"admin";"married";"secondary";1314;"yes";"yes"
48;"management";"single";"tertiary";5689;"no";"yes"
85;"retired";"married";"primary";12114;"no";"yes"
72;"retired";"married";"tertiary";0;"no";"yes"
46;"admin";"divorced";"secondary";2232;"no";"yes"
26;"technician";"single";"tertiary";11862;"no";"yes"
37;"technician";"married";"tertiary";127;"yes";"yes"
53;"management";"divorced";"tertiary";2152;"no";"yes"
33;"management";"single";"tertiary";3552;"no";"yes"
90;"retired";"divorced";"secondary";1;"no";"yes"
54;"admin";"divorced";"secondary";1872;"no";"yes"
67;"retired";"married";"tertiary";1341;"no";"yes"
71;"retired";"married";"primary";4657;"no";"yes"
44;"admin";"divorced";"secondary";397;"yes";"yes"
47;"entrepreneur";"married";"tertiary";0;"no";"yes"
44;"admin";"married";"tertiary";348;"yes";"yes"
37;"technician";"single";"secondary";2442;"no";"yes"
37;"services";"married";"secondary";1543;"yes";"yes"
28;"self-employed";"single";"tertiary";805;"no";"yes"
21;"blue-collar";"single";"secondary";2265;"no";"yes"
32;"management";"single";"tertiary";312;"no";"yes"
51;"technician";"married";"secondary";196;"yes";"yes"
26;"student";"single";"secondary";620;"no";"yes"
74;"retired";"married";"secondary";1714;"no";"yes"
65;"retired";"married";"tertiary";2416;"no";"yes"
47;"technician";"married";"secondary";335;"no";"yes"
38;"admin";"married";"secondary";755;"yes";"yes"
71;"retired";"married";"secondary";2850;"no";"yes"
29;"services";"married";"secondary";1135;"yes";"yes"
61;"retired";"married";"primary";197;"no";"yes"
57;"retired";"divorced";"primary";720;"no";"yes"
37;"management";"married";"tertiary";5355;"no";"yes"
68;"retired";"married";"secondary";445;"no";"yes"
29;"management";"single";"tertiary";5359;"no";"yes"
51;"entrepreneur";"married";"primary";1443;"no";"yes"
41;"technician";"divorced";"secondary";4047;"yes";"yes"
24;"student";"single";"secondary";23878;"no";"yes"
24;"blue-collar";"single";"secondary";167;"no";"yes"
59;"unemployed";"married";"secondary";1047;"no";"yes"
85;"retired";"divorced";"primary";7613;"no";"yes"
51;"technician";"married";"secondary";117;"no";"yes"
39;"technician";"married";"secondary";2266;"no";"yes"
44;"management";"married";"primary";558;"no";"yes"
26;"admin";"single";"secondary";2509;"no";"yes"
48;"management";"married";"tertiary";1808;"yes";"yes"
37;"technician";"single";"secondary";1130;"no";"yes"
71;"retired";"married";"tertiary";653;"no";"yes"
26;"admin";"single";"tertiary";313;"no";"yes"
43;"unemployed";"single";"tertiary";983;"yes";"yes"
30;"management";"single";"tertiary";5561;"yes";"yes"
25;"technician";"single";"secondary";1231;"yes";"yes"
25;"admin";"single";"tertiary";3730;"yes";"yes"
31;"management";"single";"tertiary";924;"no";"yes"
28;"technician";"single";"tertiary";2489;"yes";"yes"
66;"retired";"married";"secondary";995;"no";"yes"
41;"management";"married";"secondary";280;"yes";"yes"
46;"technician";"married";"secondary";3434;"no";"yes"
42;"unemployed";"married";"tertiary";576;"no";"yes"
28;"technician";"single";"secondary";1363;"no";"yes"
39;"blue-collar";"single";"primary";581;"yes";"yes"
42;"services";"married";"secondary";1376;"yes";"yes"
35;"services";"married";"secondary";52;"yes";"yes"
55;"technician";"married";"secondary";0;"yes";"yes"
37;"technician";"married";"secondary";549;"no";"yes"
29;"management";"single";"tertiary";92;"no";"yes"
49;"management";"married";"tertiary";2881;"no";"yes"
44;"technician";"single";"secondary";250;"no";"yes"
54;"admin";"married";"secondary";602;"no";"yes"
28;"management";"single";"tertiary";730;"yes";"yes"
30;"admin";"single";"secondary";523;"no";"yes"
47;"technician";"married";"secondary";293;"no";"yes"
34;"blue-collar";"single";"secondary";215;"no";"yes"
37;"unknown";"single";"tertiary";0;"no";"yes"
25;"self-employed";"single";"tertiary";42;"yes";"yes"
29;"technician";"single";"secondary";316;"yes";"yes"
62;"management";"married";"secondary";4562;"yes";"yes"
58;"management";"divorced";"secondary";10180;"no";"yes"
46;"management";"married";"tertiary";0;"no";"yes"
56;"retired";"married";"tertiary";281;"no";"yes"
33;"management";"married";"tertiary";250;"no";"yes"
27;"student";"single";"tertiary";0;"no";"yes"
60;"retired";"married";"secondary";404;"no";"yes"
32;"management";"single";"tertiary";506;"no";"yes"
83;"retired";"divorced";"primary";1097;"no";"yes"
35;"self-employed";"married";"tertiary";3698;"yes";"yes"
31;"management";"divorced";"tertiary";883;"yes";"yes"
30;"student";"single";"tertiary";2539;"no";"yes"
29;"technician";"married";"secondary";2326;"no";"yes"
36;"management";"single";"tertiary";811;"no";"yes"
57;"management";"married";"tertiary";256;"no";"yes"
21;"blue-collar";"single";"secondary";682;"no";"yes"
44;"management";"single";"tertiary";483;"no";"yes"
23;"management";"single";"tertiary";1506;"no";"yes"
34;"management";"single";"tertiary";575;"no";"yes"
32;"self-employed";"married";"secondary";409;"no";"yes"
37;"unemployed";"single";"tertiary";1316;"yes";"yes"
35;"management";"single";"tertiary";671;"yes";"yes"
47;"management";"married";"tertiary";2351;"no";"yes"
61;"management";"married";"tertiary";997;"no";"yes"
30;"management";"single";"tertiary";4808;"no";"yes"
70;"retired";"married";"secondary";6422;"no";"yes"
52;"management";"married";"tertiary";31;"no";"yes"
28;"management";"single";"secondary";171;"no";"yes"
57;"management";"married";"tertiary";2681;"no";"yes"
24;"admin";"single";"tertiary";-61;"no";"yes"
32;"management";"married";"tertiary";8929;"no";"yes"
65;"housemaid";"married";"primary";715;"no";"yes"
44;"management";"married";"tertiary";1058;"no";"yes"
32;"entrepreneur";"single";"tertiary";-34;"yes";"yes"
33;"technician";"single";"tertiary";258;"no";"yes"
53;"services";"divorced";"secondary";0;"no";"yes"
31;"management";"divorced";"tertiary";71;"no";"yes"
58;"self-employed";"married";"tertiary";5810;"no";"yes"
30;"management";"single";"tertiary";3473;"no";"yes"
47;"blue-collar";"married";"secondary";238;"yes";"yes"
60;"technician";"married";"secondary";1740;"no";"yes"
36;"entrepreneur";"divorced";"tertiary";3407;"no";"yes"
37;"services";"single";"secondary";1045;"no";"yes"
43;"admin";"married";"secondary";132;"no";"yes"
37;"admin";"single";"tertiary";1000;"yes";"yes"
31;"management";"single";"tertiary";115;"no";"yes"
31;"technician";"married";"secondary";180;"no";"yes"
30;"management";"single";"tertiary";201;"yes";"yes"
30;"management";"married";"tertiary";8089;"yes";"yes"
32;"admin";"single";"tertiary";8866;"no";"yes"
35;"admin";"married";"secondary";2;"yes";"yes"
59;"technician";"married";"secondary";259;"no";"yes"
33;"housemaid";"single";"tertiary";1107;"yes";"yes"
37;"management";"single";"tertiary";1730;"no";"yes"
31;"services";"married";"secondary";447;"no";"yes"
26;"management";"single";"tertiary";2786;"no";"yes"
53;"technician";"married";"secondary";10185;"no";"yes"
34;"unemployed";"married";"secondary";978;"no";"yes"
46;"management";"divorced";"tertiary";-130;"yes";"yes"
76;"retired";"divorced";"primary";3049;"no";"yes"
46;"management";"married";"tertiary";11385;"no";"yes"
83;"retired";"divorced";"primary";46;"no";"yes"
23;"student";"single";"secondary";4126;"no";"yes"
34;"management";"single";"tertiary";212;"no";"yes"
24;"student";"single";"secondary";1250;"no";"yes"
41;"management";"divorced";"tertiary";25;"yes";"yes"
28;"admin";"single";"secondary";1277;"no";"yes"
34;"technician";"married";"secondary";390;"yes";"yes"
77;"retired";"married";"secondary";9601;"no";"yes"
36;"management";"married";"secondary";565;"no";"yes"
58;"management";"married";"tertiary";1384;"yes";"yes"
46;"admin";"married";"secondary";-522;"yes";"yes"
59;"retired";"married";"tertiary";9676;"no";"yes"
19;"student";"single";"primary";134;"no";"yes"
23;"management";"single";"tertiary";2143;"no";"yes"
27;"management";"single";"tertiary";831;"no";"yes"
73;"retired";"divorced";"primary";2308;"no";"yes"
41;"management";"married";"tertiary";1468;"yes";"yes"
30;"admin";"single";"tertiary";311;"no";"yes"
26;"admin";"single";"secondary";274;"no";"yes"
38;"blue-collar";"single";"tertiary";172;"yes";"yes"
46;"management";"divorced";"tertiary";507;"yes";"yes"
27;"technician";"single";"tertiary";393;"no";"yes"
63;"self-employed";"married";"tertiary";-39;"no";"yes"
34;"admin";"married";"secondary";1474;"no";"yes"
32;"admin";"single";"secondary";471;"no";"yes"
33;"management";"single";"tertiary";3161;"yes";"yes"
47;"blue-collar";"married";"secondary";1612;"yes";"yes"
48;"admin";"divorced";"secondary";4099;"no";"yes"
50;"management";"married";"tertiary";414;"yes";"yes"
26;"blue-collar";"single";"secondary";5005;"no";"yes"
39;"blue-collar";"married";"secondary";1756;"yes";"yes"
55;"blue-collar";"divorced";"secondary";1613;"yes";"yes"
41;"self-employed";"married";"secondary";3123;"yes";"yes"
33;"technician";"single";"tertiary";127;"yes";"yes"
42;"management";"single";"tertiary";11891;"no";"yes"
45;"blue-collar";"married";"primary";4979;"no";"yes"
40;"management";"married";"secondary";754;"no";"yes"
37;"admin";"married";"secondary";1207;"yes";"yes"
44;"blue-collar";"single";"secondary";712;"yes";"yes"
30;"blue-collar";"single";"tertiary";297;"no";"yes"
26;"self-employed";"single";"secondary";3676;"no";"yes"
47;"unemployed";"married";"secondary";817;"no";"yes"
46;"blue-collar";"single";"tertiary";283;"no";"yes"
25;"admin";"single";"secondary";82;"no";"yes"
56;"technician";"married";"secondary";2847;"no";"yes"
36;"blue-collar";"single";"secondary";1822;"yes";"yes"
35;"technician";"single";"secondary";16;"yes";"yes"
54;"unemployed";"married";"secondary";377;"no";"yes"
48;"management";"married";"secondary";4415;"yes";"yes"
32;"technician";"married";"secondary";303;"yes";"yes"
60;"admin";"divorced";"secondary";12039;"no";"yes"
67;"retired";"married";"secondary";1443;"no";"yes"
32;"management";"single";"tertiary";1781;"no";"yes"
26;"admin";"married";"secondary";3415;"no";"yes"
33;"management";"single";"tertiary";318;"yes";"yes"
21;"student";"single";"primary";423;"no";"yes"
30;"technician";"single";"secondary";2544;"no";"yes"
27;"student";"single";"secondary";2614;"no";"yes"
30;"services";"single";"secondary";1268;"yes";"yes"
36;"blue-collar";"married";"secondary";536;"yes";"yes"
27;"admin";"married";"secondary";1293;"yes";"yes"
29;"management";"single";"tertiary";1377;"no";"yes"
38;"blue-collar";"single";"secondary";2580;"yes";"yes"
23;"admin";"single";"tertiary";314;"no";"yes"
38;"technician";"married";"tertiary";206;"no";"yes"
30;"technician";"single";"secondary";3286;"yes";"yes"
41;"services";"married";"secondary";803;"yes";"yes"
33;"technician";"single";"secondary";719;"yes";"yes"
35;"admin";"married";"secondary";898;"yes";"yes"
29;"admin";"married";"tertiary";332;"no";"yes"
68;"retired";"divorced";"primary";695;"no";"yes"
20;"student";"single";"secondary";1819;"no";"yes"
30;"management";"single";"tertiary";2544;"no";"yes"
32;"blue-collar";"married";"secondary";759;"yes";"yes"
28;"management";"divorced";"tertiary";229;"yes";"yes"
45;"blue-collar";"married";"secondary";96;"yes";"yes"
29;"technician";"single";"secondary";110;"yes";"yes"
31;"blue-collar";"married";"secondary";1406;"yes";"yes"
39;"services";"divorced";"secondary";0;"yes";"yes"
42;"blue-collar";"married";"primary";2103;"yes";"yes"
35;"management";"single";"tertiary";1599;"yes";"yes"
34;"technician";"single";"tertiary";925;"yes";"yes"
26;"management";"single";"tertiary";-3;"no";"yes"
29;"services";"divorced";"secondary";84;"yes";"yes"
44;"self-employed";"single";"tertiary";1367;"yes";"yes"
34;"management";"married";"tertiary";703;"yes";"yes"
33;"management";"married";"tertiary";0;"yes";"yes"
34;"management";"single";"tertiary";2646;"no";"yes"
33;"admin";"single";"secondary";572;"yes";"yes"
22;"student";"single";"secondary";107;"no";"yes"
32;"technician";"married";"secondary";765;"yes";"yes"
36;"services";"single";"secondary";-253;"yes";"yes"
44;"admin";"divorced";"secondary";0;"no";"yes"
65;"retired";"married";"secondary";2;"no";"yes"
61;"self-employed";"divorced";"tertiary";6;"yes";"yes"
41;"housemaid";"married";"primary";0;"no";"yes"
77;"retired";"divorced";"tertiary";4659;"no";"yes"
62;"housemaid";"married";"tertiary";1528;"no";"yes"
30;"unemployed";"married";"tertiary";330;"no";"yes"
29;"admin";"single";"secondary";731;"no";"yes"
29;"unemployed";"single";"secondary";25;"no";"yes"
65;"management";"married";"secondary";587;"no";"yes"
43;"services";"married";"primary";2557;"yes";"yes"
70;"retired";"divorced";"primary";275;"no";"yes"
32;"services";"married";"secondary";1129;"yes";"yes"
46;"technician";"married";"secondary";2149;"yes";"yes"
33;"admin";"married";"secondary";855;"no";"yes"
57;"services";"married";"primary";491;"yes";"yes"
62;"blue-collar";"married";"secondary";180;"no";"yes"
32;"services";"single";"secondary";133;"no";"yes"
39;"blue-collar";"single";"secondary";649;"yes";"yes"
76;"housemaid";"divorced";"primary";1411;"no";"yes"
36;"admin";"single";"secondary";11174;"yes";"yes"
27;"technician";"single";"secondary";439;"yes";"yes"
38;"management";"single";"tertiary";6158;"yes";"yes"
56;"blue-collar";"married";"primary";3498;"no";"yes"
51;"unemployed";"married";"tertiary";1801;"no";"yes"
39;"management";"married";"tertiary";937;"no";"yes"
35;"management";"divorced";"tertiary";26;"no";"yes"
32;"blue-collar";"married";"secondary";-53;"yes";"yes"
37;"technician";"married";"secondary";1762;"no";"yes"
52;"entrepreneur";"single";"tertiary";3469;"yes";"yes"
35;"technician";"married";"secondary";545;"yes";"yes"
47;"admin";"married";"secondary";3480;"no";"yes"
31;"technician";"married";"secondary";183;"no";"yes"
